,Species,Country.of.Origin,Altitude,altitude_mean_meters,Processing.Method,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean.Cup,Sweetness,Cupper.Points,Total.Cup.Points,Moisture,Category.One.Defects,Quakers,Category.Two.Defects
45,Arabica,Brazil,1250m,1250,Semi-washed / Semi-pulped,8.33,8,8,8,7.75,8,10,10,10,8,86.08,0.11,0,0,2
46,Arabica,Uganda,,,Semi-washed / Semi-pulped,8.08,8.08,7.83,7.92,8.08,7.92,10,10,10,8.08,86,0,0,0,0
47,Arabica,Colombia,900-1500m,1200,Washed / Wet,7.75,7.92,7.83,8.08,8.08,8.17,10,10,10,8.17,86,0.12,1,0,1
48,Arabica,Kenya,1520m-2200m,1860,Washed / Wet,7.92,8.17,7.83,8.5,7.5,7.92,10,10,10,8.17,86,0.11,0,0,1
49,Arabica,Uganda,1400-1900m,1650,Washed / Wet,8.25,8,7.83,8.08,8,7.92,10,10,10,7.92,86,0.1,0,0,0
50,Arabica,Ethiopia,1500-2000 m,1750,,7.75,8.08,8,8.25,8,8,10,10,10,7.92,86,0.01,0,0,4
51,Arabica,United States (Hawaii),1400ft,426.72,,8.33,8.17,7.75,8,7.75,7.83,10,10,10,8.17,86,0,0,0,0
52,Arabica,Guatemala,,,Washed / Wet,7.92,8.08,7.92,8.08,8.08,7.83,10,10,10,8,85.92,0.1,0,1,3
53,Arabica,Uganda,1400-1900,1650,Natural / Dry,8.17,8.17,7.92,8.08,7.83,7.75,10,10,10,8,85.92,0.12,0,0,0
54,Arabica,Colombia,1800 msnm,1800,Washed / Wet,8,8,8,8.17,7.83,8,10,10,10,7.92,85.92,0,1,0,0
55,Arabica,Panama,1600,1600,Washed / Wet,8,8,7.92,8.08,7.83,8,10,10,10,8,85.83,0.08,0,1,0
56,Arabica,Ethiopia,1800-2000,1900,Washed / Wet,7.83,8.08,7.92,8.08,8,7.92,10,10,10,8,85.83,0.1,0,0,4
57,Arabica,Guatemala,5000,1524,Washed / Wet,7.83,8,8,8.17,7.83,8,10,10,10,8,85.83,0.12,0,0,3
58,Arabica,Guatemala,4650,1417.32,Washed / Wet,8,8,7.83,8.33,7.83,7.83,10,10,10,8,85.83,0.1,0,0,1
59,Arabica,Ethiopia,,,Natural / Dry,7.83,8,7.83,8.17,7.92,8,10,10,10,8,85.75,0.09,0,4,7
60,Arabica,Peru,,,Washed / Wet,8,8,8,8.08,7.92,7.75,10,10,10,8,85.75,0.1,4,0,6
61,Arabica,Papua New Guinea,1700 mts,1700,Washed / Wet,8.33,8.42,7.83,8.33,8,8.25,9.33,9.33,10,7.92,85.75,0.12,0,0,1
62,Arabica,El Salvador,1500 meters,1500,Washed / Wet,7.92,8.17,8,7.92,7.75,7.83,10,10,10,8,85.58,0.1,0,0,3
63,Arabica,El Salvador,1300~1400 m.s.l,1350,Semi-washed / Semi-pulped,7.83,8,8,7.75,7.92,8.17,10,10,10,7.92,85.58,0.11,0,0,0
64,Arabica,United States (Hawaii),,,Natural / Dry,7.83,8,7.92,7.75,8.08,8,10,10,10,8,85.58,0,0,0,1
65,Arabica,Panama,1680,1680,Natural / Dry,8,7.75,7.83,7.83,7.67,8.58,10,10,10,7.83,85.5,0.09,2,0,2
66,Arabica,Kenya,1900m,1900,Natural / Dry,7.92,7.92,7.83,8.08,7.83,7.92,10,10,10,8,85.5,0.1,0,0,3
67,Arabica,Ethiopia,1800-2000,1900,Natural / Dry,7.83,8,7.83,7.92,7.83,8.08,10,10,10,8,85.5,0.12,0,0,7
68,Arabica,Uganda,1600,1600,Washed / Wet,8.33,7.92,7.67,7.92,7.67,7.92,10,10,10,8.08,85.5,0.12,0,0,1
69,Arabica,Guatemala,5600-5760 metros,1731.264,Washed / Wet,8,7.83,7.67,8.33,7.83,8,10,10,10,7.83,85.5,0.11,0,0,1
70,Arabica,Ethiopia,1800-2000,1900,Washed / Wet,7.75,7.83,7.83,8.17,7.92,7.83,10,10,10,8.08,85.42,0.1,0,0,18
71,Arabica,Uganda,1950,1950,Washed / Wet,8.08,8,7.83,7.67,8,7.83,10,10,10,8,85.42,0.12,0,0,5
72,Arabica,United States (Hawaii),,,Natural / Dry,7.92,7.92,7.75,7.92,7.75,7.92,10,10,10,8.25,85.42,0,4,0,6
73,Arabica,Brazil,1250m,1250,Semi-washed / Semi-pulped,8,8,8,7.67,7.75,8,10,10,10,8,85.42,0.11,0,0,1
74,Arabica,El Salvador,1400 m,1400,,8.08,7.83,7.83,8.08,7.83,7.83,10,10,10,7.92,85.42,0.01,0,0,0
75,Arabica,China,1700,1700,Natural / Dry,8,8,8,7.83,7.83,7.75,10,10,10,7.92,85.33,0.1,0,0,0
76,Arabica,Guatemala,1770,1770,Natural / Dry,7.83,7.75,7.83,7.67,7.83,8.58,10,10,10,7.83,85.33,0.11,0,0,1
77,Arabica,Costa Rica,1300,1300,Washed / Wet,7.92,8.08,8,7.92,8,8.08,10,10,9.33,8,85.33,0,0,0,0
78,Arabica,Costa Rica,1300 msnm,1300,Washed / Wet,8,7.58,7.58,7.67,8.08,8.5,10,10,10,7.92,85.33,0.1,0,0,2
79,Arabica,Kenya,above 1600 m,1600,Washed / Wet,7.83,8.08,7.75,8.08,7.92,7.75,10,10,10,7.92,85.33,0,0,0,2
80,Arabica,Kenya,above 1200 m,1200,Washed / Wet,8,7.92,7.92,8.08,7.83,7.75,10,10,10,7.83,85.33,0,0,0,6
81,Arabica,Ethiopia,,,,7.83,7.83,7.92,8.08,7.75,7.83,10,10,10,8.08,85.33,0.05,0,0,2
82,Arabica,Ethiopia,,,,7.92,7.83,7.75,8.33,7.75,7.75,10,10,10,8,85.33,0.1,0,0,3
83,Arabica,Guatemala,,,,8,7.92,7.75,8,7.92,7.83,10,10,10,7.83,85.25,0.1,0,2,2
84,Arabica,Colombia,1550 msnm,1550,Washed / Wet,8.17,7.92,7.83,8,7.58,7.83,10,10,10,7.92,85.25,0.11,0,0,0
85,Arabica,Colombia,1550,1550,Natural / Dry,7.58,8.08,7.92,7.83,8,7.92,10,10,10,7.92,85.25,0.12,0,0,2
86,Arabica,Indonesia,1250-1400 meter,1325,Semi-washed / Semi-pulped,7.75,7.83,7.67,8,8.08,7.83,10,10,10,8,85.17,0.11,0,0,3
87,Arabica,Guatemala,1400 msm,1400,Washed / Wet,8.25,8,7.67,7.92,7.75,7.67,10,10,10,7.92,85.17,0,0,0,7
88,Arabica,Ethiopia,,,Natural / Dry,7.75,8,7.58,8,8,7.92,10,10,10,7.83,85.08,0.11,0,1,8
89,Arabica,Colombia,2.560 msnm,2560,Natural / Dry,8.17,7.83,7.58,8.08,8,7.75,10,10,10,7.67,85.08,0,0,0,0
90,Arabica,Ethiopia,1700,1700,Natural / Dry,8.42,8,7.42,8,7.92,7.92,9.33,10,10,8.08,85.08,0.1,2,0,7
91,Arabica,United States (Hawaii),,,Natural / Dry,7.58,7.83,7.83,7.92,7.83,8.17,10,10,10,7.92,85.08,0.11,2,0,2
92,Arabica,Colombia,2136 msnm,2136,Natural / Dry,7.83,8,7.75,7.75,7.83,7.83,10,10,10,8.08,85.08,0.11,0,0,8
93,Arabica,United States (Hawaii),,,,8.08,8.17,7.92,8,8.08,8,9.33,9.33,10,8.17,85.08,0.01,1,0,7
94,Arabica,Ethiopia,,,,7.67,8,7.83,8,7.92,7.83,10,10,10,7.83,85.08,0,0,0,5
95,Arabica,United States (Hawaii),,,,7.5,7.92,8.25,7.83,7.92,7.75,10,10,10,7.92,85.08,0,0,0,0
96,Arabica,Uganda,1800,1800,Washed / Wet,8.17,7.92,7.75,7.75,7.67,7.75,10,10,10,8,85,0.11,0,0,1
97,Arabica,Colombia,,,Washed / Wet,8,7.92,7.75,7.92,7.75,7.83,10,10,10,7.83,85,0,0,0,3
98,Arabica,Costa Rica,1900,1900,Washed / Wet,7.83,8,7.58,7.92,7.92,7.83,10,10,10,7.92,85,0.12,1,1,1
99,Arabica,Mexico,1300,1300,Washed / Wet,7.83,8,7.83,7.75,7.67,7.83,10,10,10,8.08,85,0.09,0,0,3
100,Arabica,Kenya,-1,1,Washed / Wet,8.17,7.83,7.92,7.75,7.67,7.83,10,10,10,7.83,85,0.11,0,5,7
101,Arabica,Kenya,1580,1580,Washed / Wet,7.75,7.83,7.75,8.08,8,7.75,10,10,10,7.83,85,0,0,0,5
102,Arabica,Brazil,1100m,1100,Natural / Dry,8,8,7.83,7.83,7.67,7.67,10,10,10,8,85,0.12,0,0,3
103,Arabica,Mexico,1400 masl,1400,,7.92,8.17,7.75,8.08,7.42,7.83,10,10,10,7.83,85,0,0,0,0
104,Arabica,United States (Hawaii),,,,7.75,7.92,7.75,7.75,8,8,10,10,10,7.83,85,0,0,0,1
105,Arabica,Guatemala,3500-5200 feet,1325.88,,7.83,8.08,7.67,8,7.75,7.67,10,10,10,8,85,0.04,0,0,1
106,Arabica,Colombia,,,Washed / Wet,7.92,7.92,7.67,7.83,7.92,7.83,10,10,10,7.83,84.92,0,1,6,2
107,Arabica,Colombia,de 1600 a 1950 msnm,1775,Washed / Wet,7.92,7.83,7.75,7.83,7.75,8,10,10,10,7.83,84.92,0.12,0,0,1
108,Arabica,Taiwan,800 m,800,Semi-washed / Semi-pulped,7.67,7.83,8,7.58,8,7.92,10,10,10,7.92,84.92,0.11,0,0,0
109,Arabica,"Tanzania, United Republic Of",1620m,1620,Washed / Wet,8,7.83,7.83,7.92,7.75,7.75,10,10,10,7.83,84.92,0.12,0,0,2
110,Arabica,Colombia,de 1600 a 1950 msnm,1775,Washed / Wet,7.75,7.92,7.83,7.75,7.75,8,10,10,10,7.92,84.92,0.11,0,0,3
111,Arabica,Mexico,1200,1200,Semi-washed / Semi-pulped,7.75,8,7.75,7.83,7.5,7.92,10,10,10,8.17,84.92,0.11,0,0,0
112,Arabica,Brazil,1200m,1200,Natural / Dry,8,7.92,7.75,7.75,8,7.75,10,10,10,7.75,84.92,0.11,0,0,2
113,Arabica,Brazil,1000 m,1000,Natural / Dry,8,8,7.75,8,7.5,7.75,10,10,10,7.92,84.92,0.12,0,0,2
114,Arabica,Kenya,,,,8,7.67,7.83,8.17,7.92,7.75,10,10,10,7.58,84.92,0.06,1,0,9
115,Arabica,Taiwan,350,350,Natural / Dry,7.92,7.58,7.83,7.83,7.83,7.83,10,10,10,8,84.83,0,0,0,0
116,Arabica,Uganda,1400-1900,1650,Natural / Dry,7.75,7.92,7.67,7.67,8.25,7.75,10,10,10,7.83,84.83,0.12,0,0,1
117,Arabica,United States (Hawaii),,,Natural / Dry,7.67,7.75,7.75,7.75,7.83,8,10,10,10,8.08,84.83,0,3,0,15
118,Arabica,Ethiopia,1500-2000 m,1750,,7.75,7.92,7.83,7.92,7.75,7.67,10,10,10,8,84.83,0.1,0,0,2
119,Arabica,Ethiopia,1500-2000 m,1750,,7.42,7.92,7.92,8,7.83,7.83,10,10,10,7.92,84.83,0.1,0,0,4
120,Arabica,Thailand,,,Pulped natural / honey,7.75,7.75,7.75,7.75,8,7.75,10,10,10,8,84.75,0.12,0,0,0
121,Arabica,Kenya,1800,1800,Washed / Wet,7.92,7.83,7.58,7.92,7.75,7.83,10,10,10,7.92,84.75,0.13,0,0,0
122,Arabica,Honduras,1450 msnm,1450,Washed / Wet,7.83,7.75,8,7.67,7.67,7.67,10,10,10,8.17,84.75,0.11,0,0,4
123,Arabica,El Salvador,1200 mts,1200,,7.75,8,8,8.33,7.67,7.92,10,10,9.33,7.75,84.75,0.15,0,0,3
124,Arabica,Nicaragua,800-1050m,925,,7.83,7.58,7.58,7.83,7.75,7.67,10,10,10,8.5,84.75,0.18,0,0,2
125,Arabica,El Salvador,1350,1350,Washed / Wet,7.83,7.83,7.5,8,7.83,7.67,10,10,10,8,84.67,0,0,0,2
126,Arabica,Indonesia,1200,1200,Washed / Wet,7.92,7.83,7.75,7.75,7.75,7.75,10,10,10,7.92,84.67,0.12,0,0,7
127,Arabica,Japan,170,170,Pulped natural / honey,7.75,7.75,7.75,7.42,8.08,7.83,10,10,10,8.08,84.67,0.12,0,0,0
128,Arabica,Costa Rica,1150,1150,Washed / Wet,8.08,7.75,7.67,7.83,7.5,7.92,10,10,10,7.92,84.67,0.1,0,0,2
129,Arabica,Guatemala,1600,1600,Washed / Wet,7.75,7.83,7.58,8,7.92,7.75,10,10,10,7.83,84.67,0.1,0,0,1
130,Arabica,Costa Rica,1750,1750,Washed / Wet,8.17,8,7.83,7.17,7.83,7.75,10,10,10,7.92,84.67,0.12,0,0,0
131,Arabica,Ethiopia,1900m,1900,Washed / Wet,8.08,7.83,7.75,7.83,7.58,7.67,10,10,10,7.92,84.67,0.1,0,0,3
132,Arabica,Costa Rica,1750m,1750,Other,7.67,7.58,7.75,7.75,7.67,8.58,10,10,10,7.67,84.67,0.08,0,0,1
133,Arabica,Costa Rica,1200,1200,Washed / Wet,8,7.58,7.83,7.75,7.75,7.75,10,10,10,8,84.67,0.11,0,0,4
134,Arabica,Costa Rica,,,Washed / Wet,8.08,7.83,7.75,7.83,7.92,8,10,10,9.33,7.92,84.67,0,1,0,10
135,Arabica,Taiwan,1000 m,1000,Washed / Wet,8,7.92,7.75,7.75,7.75,7.75,10,10,10,7.75,84.67,0.11,0,0,0
136,Arabica,Colombia,1550,1550,Washed / Wet,7.75,7.83,7.75,7.83,7.75,7.83,10,10,10,7.92,84.67,0,0,0,0
137,Arabica,Kenya,2000,2000,Washed / Wet,7.75,7.92,7.83,8,7.58,7.75,10,10,10,7.83,84.67,0.11,0,0,0
138,Arabica,Guatemala,4300,1310.64,Washed / Wet,8,7.83,7.67,7.83,7.67,8,10,10,10,7.67,84.67,0.11,0,0,4
139,Arabica,Guatemala,5000,1524,Washed / Wet,7.67,7.83,7.67,8,7.67,7.83,10,10,10,8,84.67,0.12,0,0,4
140,Arabica,Mexico,1200,1200,Washed / Wet,7.83,7.58,7.67,7.92,7.92,7.83,10,10,10,7.92,84.67,0.13,0,0,3
141,Arabica,Uganda,1700-1850m,1775,Washed / Wet,7.92,7.83,7.75,7.92,7.67,7.75,10,10,10,7.83,84.67,0.11,0,0,3
142,Arabica,Peru,,,,7.67,7.83,7.75,7.75,7.92,7.83,10,10,10,7.92,84.67,0,0,0,3
143,Arabica,Ethiopia,1500-2000 m,1750,,7.42,7.75,7.75,8,8,7.92,10,10,10,7.83,84.67,0.2,0,0,3
144,Arabica,Kenya,1754,1754,Washed / Wet,7.92,7.75,7.83,7.75,7.58,7.92,10,10,10,7.83,84.58,0.11,0,0,5
145,Arabica,Colombia,1500,1500,Washed / Wet,7.83,7.67,7.58,7.92,7.67,7.83,10,10,10,8.08,84.58,0,0,0,4
146,Arabica,Colombia,,,Washed / Wet,7.92,7.83,7.58,8,7.83,7.67,10,10,10,7.75,84.58,0,0,1,5
147,Arabica,Kenya,1800,1800,Washed / Wet,7.83,7.83,7.83,7.75,7.58,7.83,10,10,10,7.92,84.58,0.1,0,0,2
148,Arabica,Guatemala,5000 ft.,1524,Washed / Wet,7.75,7.83,7.67,7.92,7.75,7.83,10,10,10,7.83,84.58,0.11,0,0,1
149,Arabica,Guatemala,4000 psn,1219.2,Washed / Wet,8,7.92,7.67,7.58,7.58,7.67,10,10,10,8.17,84.58,0.09,0,0,0
150,Arabica,Colombia,1550,1550,Washed / Wet,7.67,7.67,7.58,7.75,7.58,8.5,10,10,10,7.83,84.58,0,0,0,0
151,Arabica,Colombia,1600 a 1900 msnm,1750,Washed / Wet,7.75,7.75,7.83,7.75,7.58,8,10,10,10,7.92,84.58,0,0,0,5
152,Arabica,Kenya,,,Washed / Wet,7.75,7.75,7.75,8.08,7.75,7.75,10,10,10,7.75,84.58,0,0,0,0
153,Arabica,Colombia,1750 msnm,1750,Washed / Wet,7.67,7.83,7.83,8,7.58,7.92,10,10,10,7.75,84.58,0,0,0,2
154,Arabica,Costa Rica,1450 ~ 1700 m,1575,Semi-washed / Semi-pulped,7.75,7.83,7.75,8,7.83,7.67,10,10,10,7.75,84.58,0.12,0,0,2
155,Arabica,Colombia,1800 msnm,1800,Washed / Wet,7.42,7.67,7.75,7.75,8.08,7.83,10,10,10,8.08,84.58,0.11,0,0,6
156,Arabica,Brazil,1300m,1300,Semi-washed / Semi-pulped,8,8,7.75,7.75,7.58,7.75,10,10,10,7.75,84.58,0.12,0,0,2
157,Arabica,Brazil,1100m,1100,Semi-washed / Semi-pulped,8.5,8,7.5,7.75,7.5,7.83,10,10,10,7.5,84.58,0.11,0,0,1
158,Arabica,Costa Rica,1200,1200,Washed / Wet,7.92,7.67,7.92,7.75,7.67,7.58,10,10,10,8,84.5,0.1,0,0,2
159,Arabica,Uganda,1750,1750,Washed / Wet,7.92,7.75,7.67,7.75,7.83,7.75,10,10,10,7.83,84.5,0.11,0,0,1
160,Arabica,China,1680,1680,Washed / Wet,7.75,7.92,7.67,7.83,7.75,7.67,10,10,10,7.92,84.5,0.1,0,0,1
161,Arabica,Costa Rica,1700,1700,Washed / Wet,7.92,7.83,7.83,7.83,7.58,7.58,10,10,10,7.92,84.5,0.11,0,0,0
162,Arabica,Colombia,1800,1800,Washed / Wet,8.08,7.67,7.83,7.83,7.67,7.67,10,10,10,7.75,84.5,0.12,1,0,0
163,Arabica,China,above 1100m,1100,Washed / Wet,7.67,8,7.75,7.83,7.75,7.58,10,10,10,7.92,84.5,0,0,0,2
164,Arabica,Guatemala,4300,1310.64,Washed / Wet,8.17,7.83,7.67,7.83,7.67,7.83,10,10,10,7.5,84.5,0.11,0,0,2
165,Arabica,Kenya,2000 m,2000,Washed / Wet,7.92,7.83,7.67,8,7.67,7.75,10,10,10,7.67,84.5,0.11,0,0,0
166,Arabica,Mexico,1350,1350,Washed / Wet,8,7.92,7.42,8.08,7.5,7.67,10,10,10,7.92,84.5,0.12,0,0,0
167,Arabica,Mexico,1500,1500,Washed / Wet,7.92,7.83,7.75,7.75,7.75,7.83,10,10,10,7.67,84.5,0.11,0,0,4
168,Arabica,Guatemala,,,Washed / Wet,7.67,8,7.67,8,7.5,7.83,10,10,10,7.83,84.5,0.11,0,0,2
169,Arabica,Brazil,mmm,,,7.81,7.81,7.88,7.75,7.38,8.25,9.5,10,10,8.13,84.5,0,0,0,4
170,Arabica,Brazil,test,,,8.17,7.67,7.75,7.75,7.67,7.75,10,10,10,7.75,84.5,0,2,0,0
171,Arabica,Costa Rica,1300,1300,Washed / Wet,7.58,7.83,7.83,8,7.67,7.58,10,10,10,7.92,84.42,0.1,0,0,3
172,Arabica,Indonesia,1400,1400,Other,7.67,7.67,7.83,7.58,7.83,7.83,10,10,10,8,84.42,0,0,0,3
173,Arabica,Colombia,,,Natural / Dry,7.92,7.83,7.75,7.67,7.92,7.67,10,10,10,7.67,84.42,0,0,0,1
174,Arabica,Colombia,de 1600 a 1950 msnm,1775,Washed / Wet,7.92,7.75,7.67,7.92,7.67,7.75,10,10,10,7.75,84.42,0,0,0,3
175,Arabica,Taiwan,1200m,1200,Washed / Wet,7.83,7.83,7.75,8,7.5,7.75,10,10,10,7.75,84.42,0.11,0,0,0
176,Arabica,United States (Hawaii),,,Natural / Dry,7.92,7.92,7.5,7.83,7.5,7.92,10,10,10,7.83,84.42,0.11,0,0,1
177,Arabica,Mexico,900,900,Washed / Wet,7.75,7.92,7.75,7.67,7.83,7.67,10,10,10,7.83,84.42,0.12,2,0,4
178,Arabica,Ethiopia,,,,7.5,7.75,7.83,7.92,7.92,7.75,10,10,10,7.75,84.42,0.2,0,0,2
179,Arabica,Kenya,1800,1800,Washed / Wet,7.33,7.58,7.83,7.75,7.75,7.92,10,10,10,8.17,84.33,0.11,0,0,4
180,Arabica,Honduras,1500,1500,,7.92,8,7.75,7.67,7.67,7.75,10,10,10,7.58,84.33,0.1,0,0,3
181,Arabica,Colombia,,,Washed / Wet,7.58,7.75,7.5,7.83,7.67,8.5,10,10,10,7.5,84.33,0,0,3,5
182,Arabica,Honduras,1500,1500,Washed / Wet,7.58,7.92,7.58,7.75,7.92,7.75,10,10,10,7.83,84.33,0.11,0,1,2
183,Arabica,Colombia,,,,7.67,7.67,7.75,7.83,7.75,7.83,10,10,10,7.83,84.33,0,0,2,4
184,Arabica,Colombia,442 msnm,442,Natural / Dry,7.75,7.67,8,7.67,8.08,7.83,10,10,10,7.33,84.33,0.11,6,0,0
185,Arabica,Colombia,1800,1800,Washed / Wet,7.75,7.58,7.33,7.83,7.58,8.08,10,10,10,8.17,84.33,0,0,0,0
186,Arabica,Mexico,1700,1700,Washed / Wet,8,7.75,7.75,7.83,7.5,7.67,10,10,10,7.83,84.33,0.12,0,0,1
187,Arabica,Brazil,1200m to 1350m,1275,,8.17,8,7.5,7.75,7.5,7.67,10,10,10,7.75,84.33,0,0,0,4
188,Arabica,Brazil,900-1200m,1050,,8,8,7.5,7.5,7.67,7.75,10,10,10,7.92,84.33,0.02,0,0,2
189,Arabica,Ethiopia,3600-6200 ft,1493.52,,7.75,7.75,7.92,7.75,7.5,7.92,10,10,10,7.75,84.33,0,0,0,1
